name,price,status,shipping,free_returns,items_sold
SKULL ARMOUR - Backpack +  Laptop Pocket - 28L,2905,Brand New,995,False,
Women Laptop Backpack 15.6’’ EVA Protection RFID Anti Theft Large Travel Work,5999,Brand New,0,True,
Johnston & Murphy XC4 Mens Business Laptop Backpack,22900,Brand New,0,False,
Franklin Covey Green Leather Tote Handbag Laptop Shoulder Bag Womens Travel,4977,Pre-Owned,2115,True,
hand-crafted Men's Backpack vintage Genuine Leather Rucksack Laptop Travel Bag,9000,New (Other),0,True,
40L Flight Approved Compressible Backpack fits for 17 in Laptop Anti-Theft,5499,Brand New,0,False,
Vintage Samsonite Leather Shoulder Laptop Briefcase,5500,,1795,False,
GIORGIO Beverly Hills Black Leather Logo BRIEFCASE Laptop Messenger Bag FINE Cnd,9999,Pre-Owned,2115,False,
"Benrus 19"" Rucksack Drawstring Bag with 16"" Laptop Pocket - Sangria",3299,Brand New,0,True,
Vegan Leather Woven Convertible Backpack Bag Tan Laptop Bag Left Coast ,1898,Brand New,895,False,
Jansport Messenger Laptop Shoulder bag Brown/pink/beige multicolor patter  16x13,3900,Brand New,1185,False,
"New Marvel Backpack - Adjustable Straps, Laptop Sleeve, 50 lb. cap.- Awesome !!!",1295,Brand New,1154,False,
And1 Black & Gray Backpack/Book BaG Zip Pockets Laptop Sleeve Basketball 18” NWT,1899,Brand New,599,False,
Tumi Clayton Rucksack Laptop Nylon Backpack BookBag Bag,24900,Brand New,0,True,0
Unisex Anti-Theft Backpack Laptop Travel Large School Bag W/ USB Charging Port,926,Brand New,0,True,
Alpine Swiss Genuine Leather 15.6” Laptop Briefcase Flap Over Messenger Bag,4999,Brand New,,False,
,,,,False,
"Kipling Ladies Large Tile Purple Nylon 15"" Laptop Sleeve AC-8205",4699,Brand New,0,False,0
Bag Leather Genuine Laptop Men's Vintage Travel Messenger Satchel Men Briefcase ,4200,New (Other),0,True,0
MVA Men Leather Shoulder Messenger Bags Business Work Laptop Handbag Briefcase,1601,Brand New,0,True,
"Travelers Club TPRC Sport 18"" Laptop Computer Business Travel Backpack Blue",2399,Brand New,0,True,
Naruto Shippuden Uzumaki Naruto & Uchiha Sasuke Print Laptop Backpack Multi-Col,6498,Brand New,0,False,
New Men's Vintage Brown USA Made Leather Messenger Laptop Satchel Shoulder Bag,3441,New (Other),0,True,0
Belkin F8N052 Sling Bag for 15.4” laptops Chocolate Brown Blue Trim & Pouch,3600,Pre-Owned,800,False,
